Hämeenkyrön Hälläpyörät ry;9999618;Viljakkalan seurakuntatalo;Virkatie 2;39310;Viljakkala;;61.7051;23.2679
Hämeenlinnan Metsänkävijät ry;9999619;Kolo, Karikko;Turun Valtatie 433;13500;Hämeenlinna;;60.950285;24.4056954
Hämeenlinnan Metsänkävijät ry;9999619;Kolo, Karikko;Turun Valtatie 433;13500;Hämeenlinna;;60.950285;24.4056954
Härmälän Haukat ry;9999623;;Antinkatu 3;33900;Tampere;;61.46771;23.750206
Härmälän Haukat ry;9999623;;Antinkatu 3;33900;Tampere;;61.46771;23.750206
Härmälän Ilvestytöt ry;9999624;Peltolammin srk-talo;Tilkonmäenkatu 4;33840;Tampere;;61.4561738;23.7529896
Härmälän Ilvestytöt ry;9999624;Härmälän kirkko;Talvitie 26;33900;Tampere;;61.467819;23.750147
Ikaalisten Korpi-Kotkat ry;9999625;Partiokolo;Vanha Tampereentie 6;39500;Ikaalinen;;61.7691061;23.0602224
Jaakon Samoojat ry;9999628;Rengon seurakuntatalo;Hinkaloistentie 1;14300;Renko;;60.8930489;24.2827964
Jaakon Samoojat ry;9999628;Rengon seurakuntatalo;Hinkaloistentie 1;14300;Renko;;60.8930489;24.2827964
Jaarlin Pojat ry;9999629;Hämeen suoja;Palokunnankatu 12;13100;Hämeenlinna;;60.99592;24.468404
Jaarlin Pojat ry;9999629;Hämeen suoja;Palokunnankatu 12;13100;Hämeenlinna;;60.99592;24.468404
Janakkalan Ilvekset ry;9999630;Partiokolo;Juttilantie 2;14200;Turenki;;60.919267;24.646764
Janakkalan Ilvekset ry;9999630;Partiokolo;Juttilantie 2;14200;Turenki;;60.919267;24.646764
Jokioisten Korvenkävijät ry;9999631;Kolo;Kirkkotie 111;31600;Jokioinen;;60.811466;23.462081
Jokioisten Korvenkävijät ry;9999631;Kolo;Kirkkotie 111;31600;Jokioinen;;60.811466;23.462081
Joutjärven Tapulitytöt ry;9999167;Karisto;Kauppiaankatu 2;15160;Lahti;;60.977089;25.752434
Joutjärven Tapulitytöt ry;9999167;Karisto;Kauppiaankatu 2;15160;Lahti;;60.977089;25.752434
Joutjärven Tapulitytöt ry;9999167;Joutjärven kirkko;Ilmarisentie 1;15170;Lahti;;60.984558;25.702515
Joutjärven Tapulitytöt ry;9999167;Joutjärven kirkko;Ilmarisentie 1;15170;Lahti;;60.984558;25.702515
Joutjärven Tapulitytöt ry;9999167;Ahtialan seurakuntakeskus;Alasenkatu 4;15300;Lahti;;61.000062;25.757918
Joutjärven Tapulitytöt ry;9999167;Ahtialan seurakuntakeskus;Alasenkatu 4;15300;Lahti;;61.000062;25.757918
Joutjärven Tapulitytöt ry;9999167;Kunnaksen seurakuntakoti;Opintie 2;15340;Lahti;;61.012117;25.798473
Joutjärven Tapulitytöt ry;9999167;Kunnaksen seurakuntakoti;Opintie 2;15340;Lahti;;61.012117;25.798473
Juupajoen Eräpartio ry;9999632;Toimintavintti;Koskitie 65;35500;Korkeakoski;;61.8000606;24.3680697
Juupajoen Eräpartio ry;9999632;Seurakuntala;Kopsamontie 200;35540;Juupajoki;;61.7852578;24.4539188
Juupajoen Eräpartio ry;9999632;Seurakuntala;Kopsamontie 200;35540;Juupajoki;;61.7852578;24.4539188
Jämijärven Miilunvartijat ry;9999176;Miilunvartijain kolo;Puhdistamontie;38800;Jämijärvi;;61.821132;22.707346
Kalevan Karhut ry;9999633;Ilmarinkadun kolo;Ilmarinkatu 37 B;33500;Tampere;;61.502369;23.795786
Kalevan Karhut ry;9999633;Kalevan kirkko;Liisanpuisto 1;33540;Tampere;;61.499195;23.793597
